language,families_south_king_county,kc_tier,kc_status,on_tier_map,tier_map_source,tier_map_vintage
Kakwa,4,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Moore,4,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Bangala,4,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Eritai,3,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Akateko,3,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
"Greek, Modern",3,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Azerbaijani,3,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Armenian,3,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Serbo-Croation,3,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Dutch,3,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Polish,3,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Aguacateco,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Sinhalese,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Estonian,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Bambara,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Egyptian-Arabic,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Yoruba,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Shona,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Tajiki,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Purepecha,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Latvian,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Marquesan,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Mixteco,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Kongo,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Kannada,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Hungarian,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Ewe,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Chinese-Fukienese,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Kmhmu,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Kazakh,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Krahn,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Krio,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Pere,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Sotho,2,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Acholi,1,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Herero,1,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Catalan,1,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Carolinian,1,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Bassa,1,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Ga,1,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Kru,1,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Kirgiz,1,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Moldavian,1,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Pashai,1,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
"Nahuatl, Guerrero region",1,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Slovenian,1,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Sao,1,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Tibetan,1,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
