district,language,families,reading,best_written_tier,best_written_tier_local_only,best_oral_tier,agencies_at_tier3,verified_tier3,best_provider,providers_at_tier3,written_gap,oral_gap,gap_score,severity,families_no_written_anywhere,families_no_local_written,families_no_local_document
Auburn School District,Korean,32,conservative,2,2,2,6,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; Public Health Seattle and King County; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,19.2,6.4,15.4,0.481,0,0,32
Highline School District,Russian,32,conservative,2,2,2,9,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Sound Transit,19.2,6.4,15.4,0.481,0,0,32
Auburn School District,Nepali,22,conservative,1,1,2,0,0,City of Auburn,,18.7,4.4,14.4,0.655,0,0,22
Kent School District,Mien,14,conservative,0,0,0,0,0,City of Auburn,,14.0,14.0,14.0,1.0,14,14,14
Kent School District,Romanian,29,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,17.4,5.8,13.9,0.479,0,0,29
Renton School District,Hindi,29,conservative,2,1,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,17.4,5.8,13.9,0.479,0,0,29
Tukwila School District,Nepali,29,conservative,2,2,2,1,0,City of Tukwila,City of Tukwila,17.4,5.8,13.9,0.479,0,0,29
Auburn School District,Swahili,28,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,16.8,5.6,13.4,0.479,0,0,28
Auburn School District,Tigrinya,28,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,16.8,5.6,13.4,0.479,0,0,28
Highline School District,Ukrainian,28,conservative,2,2,2,3,0,Public Health Seattle and King County,King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,16.8,5.6,13.4,0.479,0,0,28
Federal Way School District,Portuguese,28,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,16.8,5.6,13.4,0.479,0,0,28
