agency_id,agency_name,sector,location_id,location_name,location_type,lat,lon,district_name,languages_served,sectors_covered
sound_transit,Sound Transit,transit,sound_transit-S01-E-00002,Angle Lake Station South Entrance,transit_center_or_park_ride,47.422264,-122.297765,Highline School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-S03,Kent Des Moines,station,47.389552,-122.294399,Highline School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-S05,Star Lake,station,47.359388,-122.297391,Federal Way School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-S07,Federal Way Downtown,station,47.315903,-122.303829,Federal Way School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-SS02,Tukwila Sounder Station,station,47.460199,-122.24043,Renton School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-SS03,Kent Sounder Station,station,47.384154,-122.233033,Kent School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-SS04,Auburn Station,station,47.306411,-122.232257,Auburn School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-S_AU_NB,Auburn Station,transit_center_or_park_ride,47.306299,-122.232137,Auburn School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-S_AU_SB,Auburn Station,transit_center_or_park_ride,47.306299,-122.232375,Auburn School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-S_KE_NB,Kent Sounder Station,transit_center_or_park_ride,47.384022,-122.232903,Kent School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-S_KE_SB,Kent Sounder Station,transit_center_or_park_ride,47.384257,-122.233151,Kent School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-S_TK_NB,Tukwila Sounder Station,transit_center_or_park_ride,47.460527,-122.240293,Renton School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-S_TK_SB,Tukwila Sounder Station,transit_center_or_park_ride,47.460432,-122.240507,Renton School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
