agency_id,agency_name,sector,location_id,location_name,location_type,lat,lon,gtfs_location_type,capture_date,source_url
kcmetro,King County Metro,transit,kcmetro-64561,Issaquah Highlands Park & Ride - Bay 4,transit_center_or_park_ride,47.5455666,-122.019287,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-64566,Issaquah Highlands Park & Ride - Bay 3,transit_center_or_park_ride,47.5457039,-122.019318,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-64579,Issaquah Transit Center - Bay 1,transit_center_or_park_ride,47.5426216,-122.062263,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-64592,Issaquah Transit Center - Bay 5,transit_center_or_park_ride,47.5422478,-122.062225,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-64593,Issaquah Transit Center - Bay 4,transit_center_or_park_ride,47.5424728,-122.06221,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-67014,Eastgate Park & Ride - Bay 1,transit_center_or_park_ride,47.5805092,-122.152657,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-67015,Eastgate Park & Ride Acs & 140th Ave SE - Bay 2,transit_center_or_park_ride,47.5805054,-122.152008,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-67652,Bellevue Transit Center - Bay 9,transit_center_or_park_ride,47.615509,-122.194725,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-67655,Bellevue Transit Center - Bay 8,transit_center_or_park_ride,47.6155014,-122.194389,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-68001,Bellevue Transit Center - Bay 11,transit_center_or_park_ride,47.6155205,-122.196152,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-68003,Bellevue Transit Center - Bay 3,transit_center_or_park_ride,47.6155052,-122.195358,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-68005,Bellevue Transit Center - Bay 5,transit_center_or_park_ride,47.6155014,-122.19426,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-68006,Bellevue Transit Center - Bay 6,transit_center_or_park_ride,47.6154938,-122.193909,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-68007,Bellevue Transit Center - Bay 12,transit_center_or_park_ride,47.6153603,-122.19619,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-68085,Wilburton Station - Bay 2,transit_center_or_park_ride,47.6172333,-122.184837,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-68398,Redmond Technology Station - Bay 7,transit_center_or_park_ride,47.6447792,-122.132393,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-68498,Redmond Technology Station Bay 8 - Bay 8,transit_center_or_park_ride,47.6439857,-122.132187,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-69021,Bellevue Transit Center - Bay 10,transit_center_or_park_ride,47.615509,-122.195724,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-71326,152nd Ave NE & Overlake Park&Ride,transit_center_or_park_ride,47.633709,-122.137604,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-71328,Overlake Park & Ride,transit_center_or_park_ride,47.6331596,-122.136086,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-71331,Overlake Park & Ride,transit_center_or_park_ride,47.6329613,-122.137802,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-71345,Redmond Technology Station Acs & 156th Ave NE - Bay 4,transit_center_or_park_ride,47.6444016,-122.133202,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-71346,Redmond Technology Station Acs - Bay 5,transit_center_or_park_ride,47.6447296,-122.13327,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-71347,Redmond Technology Station Acs & 156th Ave NE - Bay 6,transit_center_or_park_ride,47.6450005,-122.133324,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-71951,Redmond Transit Center - Bay 3,transit_center_or_park_ride,47.6765976,-122.123665,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
