NAME,C16001_001E,C16001_002E,C16001_003E,C16001_004E,C16001_005E,C16001_006E,C16001_007E,C16001_008E,C16001_009E,C16001_010E,C16001_011E,C16001_012E,C16001_013E,C16001_014E,C16001_015E,C16001_016E,C16001_017E,C16001_018E,C16001_019E,C16001_020E,C16001_021E,C16001_022E,C16001_023E,C16001_024E,C16001_025E,C16001_026E,C16001_027E,C16001_028E,C16001_029E,C16001_030E,C16001_031E,C16001_032E,C16001_033E,C16001_034E,C16001_035E,C16001_036E,C16001_037E,C16001_038E,state,school district (unified)
"Kittitas School District, Washington",4057,3695,333,243,90,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,04050
"Klickitat School District, Washington",765,755,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,53,04080
"La Conner School District, Washington",4584,4288,140,115,25,17,12,5,16,16,0,22,16,6,15,15,0,11,2,9,7,3,4,7,3,4,9,1,8,16,8,8,0,0,0,36,36,0,53,04110
"LaCrosse School District, Washington",680,618,56,48,8,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,04150
"La Center School District, Washington",8967,8164,211,178,33,10,10,0,153,153,0,77,41,36,83,76,7,45,30,15,23,10,13,0,0,0,11,11,0,174,110,64,0,0,0,16,16,0,53,04170
"Lake Stevens School District, Washington",48695,40336,2871,1845,1026,131,87,44,125,115,10,916,488,428,1026,791,235,471,293,178,305,174,131,579,321,258,598,551,47,1028,710,318,115,54,61,194,153,41,53,04200
"Lake Washington School District, Washington",206170,127042,8756,6179,2577,1173,1141,32,1370,1131,239,6754,4926,1828,19020,15978,3042,2769,1424,1345,16651,10374,6277,1341,473,868,1311,790,521,15076,11754,3322,1724,1037,687,3183,2748,435,53,04230
"Lakewood School District, Washington",17048,15246,1312,692,620,47,47,0,73,73,0,26,14,12,130,29,101,23,0,23,46,46,0,0,0,0,87,60,27,58,58,0,0,0,0,0,0,0,53,04260
"Lamont School District, Washington",201,183,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,04290
"Liberty School District, Washington",4866,4728,71,9,62,0,0,0,0,0,0,27,11,16,18,18,0,0,0,0,9,4,5,0,0,0,0,0,0,10,10,0,0,0,0,3,3,0,53,04380
